Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-22,01:00:00,3.02403,3.02625,3.02403,3.02522,0,0
2015-04-22,02:00:00,3.02522,3.02788,3.02409,3.02788,0,0
2015-04-22,03:00:00,3.02786,3.03086,3.02722,3.03016,0,0
2015-04-22,04:00:00,3.0303,3.0322,3.02951,3.03177,0,0
2015-04-22,05:00:00,3.03177,3.03274,3.03065,3.03153,0,0
2015-04-22,06:00:00,3.0315,3.0325,3.03112,3.03112,0,0
2015-04-22,07:00:00,3.0311,3.03196,3.02861,3.03148,0,0
2015-04-22,08:00:00,3.03148,3.03307,3.02962,3.03142,0,0
2015-04-22,09:00:00,3.03146,3.03168,3.0218,3.02518,0,0
2015-04-22,10:00:00,3.02517,3.03748,3.02517,3.03733,0,0
2015-04-22,11:00:00,3.03731,3.04122,3.0315,3.03639,0,0
2015-04-22,12:00:00,3.03661,3.0395,3.03288,3.03632,0,0
2015-04-22,13:00:00,3.03629,3.03839,3.03308,3.03394,0,0
2015-04-22,14:00:00,3.03458,3.04156,3.03377,3.04125,0,0
2015-04-22,15:00:00,3.04113,3.04715,3.03746,3.04449,0,0
2015-04-22,16:00:00,3.04437,3.05164,3.04318,3.04377,0,0
2015-04-22,17:00:00,3.04352,3.04658,3.03939,3.03977,0,0
2015-04-22,18:00:00,3.03965,3.04023,3.03318,3.03768,0,0
2015-04-22,19:00:00,3.0374,3.0412,3.03523,3.03837,0,0
2015-04-22,20:00:00,3.03845,3.03958,3.03557,3.03818,0,0
2015-04-22,21:00:00,3.03816,3.0406,3.03423,3.03592,0,0
2015-04-22,22:00:00,3.03632,3.0412,3.03584,3.0405,0,0
2015-04-22,23:00:00,3.0402,3.04111,3.03709,3.03838,0,0
2015-04-22,23:59:00,3.03892,3.03961,3.037,3.03735,0,0
2015-04-23,01:00:00,3.03735,3.03922,3.03714,3.03892,0,0
2015-04-23,02:00:00,3.03927,3.0402,3.03817,3.03935,0,0
2015-04-23,03:00:00,3.03935,3.04248,3.03888,3.04037,0,0
2015-04-23,04:00:00,3.04037,3.04342,3.03943,3.0425,0,0
2015-04-23,05:00:00,3.0425,3.04363,3.04078,3.04078,0,0
2015-04-23,06:00:00,3.04081,3.04355,3.04081,3.0435,0,0
2015-04-23,07:00:00,3.04343,3.04538,3.04086,3.04468,0,0
2015-04-23,08:00:00,3.04461,3.04493,3.03975,3.04233,0,0
2015-04-23,09:00:00,3.04201,3.05001,3.04148,3.04745,0,0
2015-04-23,10:00:00,3.04797,3.06108,3.04637,3.05818,0,0
2015-04-23,11:00:00,3.05807,3.06182,3.04819,3.05027,0,0
2015-04-23,12:00:00,3.04997,3.05403,3.04757,3.04825,0,0
2015-04-23,13:00:00,3.04862,3.05374,3.04621,3.05155,0,0
2015-04-23,14:00:00,3.05204,3.05663,3.04731,3.04884,0,0
2015-04-23,15:00:00,3.04833,3.05334,3.0474,3.04986,0,0
2015-04-23,16:00:00,3.04995,3.05591,3.04486,3.0504,0,0
2015-04-23,17:00:00,3.05101,3.05452,3.04247,3.04773,0,0
2015-04-23,18:00:00,3.04795,3.05318,3.04668,3.052,0,0
2015-04-23,19:00:00,3.0521,3.05271,3.04614,3.04903,0,0
2015-04-23,20:00:00,3.04918,3.05042,3.0401,3.04238,0,0
2015-04-23,21:00:00,3.04234,3.04376,3.03898,3.0426,0,0
2015-04-23,22:00:00,3.04245,3.04324,3.03982,3.04213,0,0
2015-04-23,23:00:00,3.04191,3.04542,3.04014,3.04262,0,0
2015-04-23,23:59:00,3.04218,3.0441,3.04132,3.04216,0,0
2015-04-24,01:00:00,3.04201,3.04378,3.04201,3.0432,0,0
2015-04-24,02:00:00,3.04357,3.04535,3.04259,3.04486,0,0
2015-04-24,03:00:00,3.04456,3.04604,3.04281,3.04333,0,0
2015-04-24,04:00:00,3.04333,3.04487,3.0425,3.04428,0,0
2015-04-24,05:00:00,3.04458,3.0482,3.04438,3.04762,0,0
2015-04-24,06:00:00,3.04777,3.05103,3.04754,3.04988,0,0
2015-04-24,07:00:00,3.04987,3.05012,3.04628,3.04691,0,0
2015-04-24,08:00:00,3.0467,3.04726,3.04359,3.04518,0,0
2015-04-24,09:00:00,3.04517,3.04754,3.03632,3.03895,0,0
2015-04-24,10:00:00,3.03905,3.04216,3.03459,3.03687,0,0
2015-04-24,11:00:00,3.03687,3.0437,3.03353,3.04325,0,0
2015-04-24,12:00:00,3.04304,3.04496,3.03653,3.04493,0,0
2015-04-24,13:00:00,3.04526,3.05548,3.04495,3.05418,0,0
2015-04-24,14:00:00,3.05421,3.06046,3.0499,3.05859,0,0
2015-04-24,15:00:00,3.05857,3.05939,3.04826,3.05384,0,0
2015-04-24,16:00:00,3.05397,3.05543,3.04263,3.05504,0,0
2015-04-24,17:00:00,3.05498,3.0615,3.04405,3.04478,0,0
2015-04-24,18:00:00,3.04421,3.05304,3.03947,3.04744,0,0
2015-04-24,19:00:00,3.04752,3.05734,3.04752,3.05624,0,0
2015-04-24,20:00:00,3.05702,3.06102,3.05474,3.05682,0,0
2015-04-24,21:00:00,3.05805,3.06393,3.05626,3.05756,0,0
2015-04-24,22:00:00,3.05769,3.05776,3.05215,3.05331,0,0
2015-04-24,23:00:00,3.05315,3.05395,3.05315,3.05388,0,0
2015-04-27,01:00:00,3.04707,3.04778,3.04524,3.04716,0,0
2015-04-27,02:00:00,3.04714,3.05193,3.04714,3.04977,0,0
2015-04-27,03:00:00,3.04997,3.0537,3.04879,3.05154,0,0
2015-04-27,04:00:00,3.05143,3.05432,3.05103,3.05407,0,0
2015-04-27,05:00:00,3.05407,3.0561,3.05398,3.0548,0,0
2015-04-27,06:00:00,3.05481,3.06038,3.05364,3.05877,0,0
2015-04-27,07:00:00,3.05885,3.05996,3.05504,3.05567,0,0
2015-04-27,08:00:00,3.05569,3.05713,3.05193,3.05476,0,0
2015-04-27,09:00:00,3.05474,3.05523,3.05027,3.05378,0,0
2015-04-27,10:00:00,3.05364,3.0593,3.04706,3.05083,0,0
2015-04-27,11:00:00,3.05065,3.05304,3.04433,3.04812,0,0
2015-04-27,12:00:00,3.04811,3.05086,3.04275,3.04957,0,0
2015-04-27,13:00:00,3.04948,3.04971,3.04331,3.04331,0,0
2015-04-27,14:00:00,3.04359,3.04797,3.04159,3.04625,0,0
2015-04-27,15:00:00,3.04643,3.04712,3.03164,3.03188,0,0
2015-04-27,16:00:00,3.03156,3.04196,3.03156,3.03759,0,0
2015-04-27,17:00:00,3.03755,3.03881,3.02767,3.02767,0,0
2015-04-27,18:00:00,3.02772,3.02819,3.02251,3.02497,0,0
2015-04-27,19:00:00,3.02471,3.02721,3.01866,3.0227,0,0
2015-04-27,20:00:00,3.02243,3.02893,3.02129,3.02816,0,0
2015-04-27,21:00:00,3.02806,3.03351,3.02582,3.03347,0,0
2015-04-27,22:00:00,3.03347,3.03347,3.02749,3.02749,0,0
2015-04-27,23:00:00,3.02754,3.0314,3.02754,3.03052,0,0
2015-04-27,23:59:00,3.02911,3.0321,3.02821,3.03073,0,0
2015-04-28,01:00:00,3.03075,3.03385,3.02931,3.03225,0,0
2015-04-28,02:00:00,3.03228,3.03308,3.0315,3.0321,0,0
2015-04-28,03:00:00,3.032,3.03332,3.03079,3.03172,0,0
2015-04-28,04:00:00,3.0315,3.0327,3.02958,3.03041,0,0
2015-04-28,05:00:00,3.03041,3.03125,3.02951,3.03051,0,0
2015-04-28,06:00:00,3.03045,3.03087,3.02897,3.02921,0,0
2015-04-28,07:00:00,3.02858,3.03007,3.02817,3.02936,0,0
2015-04-28,08:00:00,3.02934,3.03001,3.02671,3.0279,0,0
2015-04-28,09:00:00,3.0279,3.03269,3.02684,3.03242,0,0
2015-04-28,10:00:00,3.03241,3.03866,3.02861,3.03816,0,0
2015-04-28,11:00:00,3.03873,3.04518,3.03625,3.03762,0,0
2015-04-28,12:00:00,3.03755,3.0391,3.03038,3.03832,0,0
2015-04-28,13:00:00,3.03818,3.04019,3.0349,3.03578,0,0
2015-04-28,14:00:00,3.03612,3.03762,3.03361,3.03422,0,0
2015-04-28,15:00:00,3.03436,3.0367,3.0297,3.03534,0,0
2015-04-28,16:00:00,3.03544,3.03663,3.02504,3.02728,0,0
2015-04-28,17:00:00,3.02619,3.03489,3.02386,3.02972,0,0
2015-04-28,18:00:00,3.03007,3.03214,3.02661,3.03049,0,0
2015-04-28,19:00:00,3.03048,3.03104,3.02713,3.02847,0,0
2015-04-28,20:00:00,3.0285,3.02983,3.02332,3.02393,0,0
2015-04-28,21:00:00,3.02398,3.02903,3.02266,3.02779,0,0
2015-04-28,22:00:00,3.02755,3.03222,3.02618,3.02621,0,0
2015-04-28,23:00:00,3.02635,3.02681,3.023,3.02427,0,0
2015-04-28,23:59:00,3.02363,3.02724,3.02363,3.0267,0,0
2015-04-29,01:00:00,3.02572,3.02776,3.02444,3.02691,0,0
2015-04-29,02:00:00,3.02688,3.02868,3.02659,3.02741,0,0
2015-04-29,03:00:00,3.02755,3.02805,3.02402,3.02501,0,0
2015-04-29,04:00:00,3.02501,3.02733,3.02438,3.02673,0,0
2015-04-29,05:00:00,3.02668,3.02747,3.02574,3.02661,0,0
2015-04-29,06:00:00,3.02664,3.02787,3.02661,3.02787,0,0
2015-04-29,07:00:00,3.02785,3.02885,3.02654,3.02805,0,0
2015-04-29,08:00:00,3.02783,3.03015,3.02755,3.02924,0,0
2015-04-29,09:00:00,3.02924,3.03198,3.02666,3.03138,0,0
2015-04-29,10:00:00,3.03172,3.03291,3.02606,3.0283,0,0
2015-04-29,11:00:00,3.02816,3.02989,3.0234,3.02729,0,0
2015-04-29,12:00:00,3.02725,3.03131,3.02226,3.02249,0,0
2015-04-29,13:00:00,3.02266,3.02609,3.02021,3.02609,0,0
2015-04-29,14:00:00,3.02585,3.02833,3.02294,3.02528,0,0
2015-04-29,15:00:00,3.02552,3.03383,3.02214,3.03083,0,0
2015-04-29,16:00:00,3.03084,3.03316,3.02382,3.02455,0,0
2015-04-29,17:00:00,3.02484,3.02606,3.00955,3.01102,0,0
2015-04-29,18:00:00,3.01067,3.01375,3.00033,3.00624,0,0
2015-04-29,19:00:00,3.00518,3.01325,3.00217,3.01245,0,0
2015-04-29,20:00:00,3.01238,3.01249,2.9934,2.99493,0,0
2015-04-29,21:00:00,2.99434,3.00866,2.99434,3.00472,0,0
2015-04-29,22:00:00,3.00465,3.00839,3.00043,3.00043,0,0
2015-04-29,23:00:00,3.0003,3.00302,2.99888,2.99888,0,0
2015-04-29,23:59:00,2.99917,3.00523,2.99908,3.00327,0,0
2015-04-30,01:00:00,3.0033,3.00469,3.00176,3.00239,0,0
2015-04-30,02:00:00,3.00231,3.00348,3.00151,3.00276,0,0
2015-04-30,03:00:00,3.00271,3.00387,3.00159,3.0036,0,0
2015-04-30,04:00:00,3.00363,3.00418,2.99811,2.99831,0,0
