Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-22,01:00:00,5.54274,5.5452,5.54159,5.54206,0,0
2015-04-22,02:00:00,5.54206,5.54774,5.54169,5.5471,0,0
2015-04-22,03:00:00,5.54705,5.55342,5.54675,5.55237,0,0
2015-04-22,04:00:00,5.5525,5.55399,5.55159,5.55326,0,0
2015-04-22,05:00:00,5.55326,5.55471,5.55119,5.55296,0,0
2015-04-22,06:00:00,5.55302,5.55461,5.55256,5.55329,0,0
2015-04-22,07:00:00,5.55329,5.55439,5.54789,5.55189,0,0
2015-04-22,08:00:00,5.55189,5.55543,5.54773,5.55012,0,0
2015-04-22,09:00:00,5.55045,5.55236,5.52976,5.53837,0,0
2015-04-22,10:00:00,5.53798,5.56036,5.53798,5.55768,0,0
2015-04-22,11:00:00,5.55756,5.57075,5.55253,5.56722,0,0
2015-04-22,12:00:00,5.56789,5.5812,5.56592,5.57775,0,0
2015-04-22,13:00:00,5.57769,5.58574,5.5718,5.58263,0,0
2015-04-22,14:00:00,5.58393,5.60839,5.58263,5.60823,0,0
2015-04-22,15:00:00,5.60806,5.61728,5.6053,5.60922,0,0
2015-04-22,16:00:00,5.60881,5.61683,5.59871,5.59895,0,0
2015-04-22,17:00:00,5.59811,5.60488,5.59307,5.5997,0,0
2015-04-22,18:00:00,5.59987,5.60351,5.58628,5.59051,0,0
2015-04-22,19:00:00,5.59036,5.59365,5.58625,5.58626,0,0
2015-04-22,20:00:00,5.586,5.59384,5.58563,5.58988,0,0
2015-04-22,21:00:00,5.59007,5.59414,5.58702,5.58806,0,0
2015-04-22,22:00:00,5.58858,5.59255,5.58478,5.59129,0,0
2015-04-22,23:00:00,5.59146,5.59413,5.58942,5.59133,0,0
2015-04-22,23:59:00,5.59147,5.59388,5.5905,5.59226,0,0
2015-04-23,01:00:00,5.59226,5.59654,5.59127,5.59553,0,0
2015-04-23,02:00:00,5.59626,5.59752,5.59338,5.5963,0,0
2015-04-23,03:00:00,5.59585,5.60429,5.59487,5.60291,0,0
2015-04-23,04:00:00,5.60291,5.60621,5.60044,5.60375,0,0
